name,key,C_Major,C_minor,C#/D♭_Major,C#/D♭_minor,D_Major,D_minor,D#/E♭_Major,D#/E♭_minor,E_Major,E_minor,F_Major,F_minor,F#/G♭_Major,F#/G♭_minor,G_Major,G_minor,G#/A♭_Major,G#/A♭_minor,A_Major,A_minor,A#/B♭_Major,A#/B♭_minor,B_Major,B_minor
GLORY DAYS（175R） ,G_Major,24,0,0,0,39,0,0,0,0,10,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Cry the world（175R） ,C_Major,28,0,0,0,0,0,0,0,0,0,11,0,0,0,24,0,0,0,0,12,0,0,0,0
blue（175R） ,F_Major,32,0,0,0,0,9,2,0,0,0,13,0,0,0,0,0,0,0,0,0,19,0,0,0
メロディー（175R） ,A_Major,0,0,0,0,39,0,0,0,36,0,0,0,0,24,0,0,0,0,48,0,0,0,0,2
パスポート（175R） ,A_Major,0,0,0,0,21,0,0,0,33,0,0,0,0,5,0,0,0,0,44,0,0,0,0,0
style（175R） ,G_Major,31,0,0,0,29,0,0,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0
シャイン、光の道しるべ（175R） ,E_Major,0,0,0,14,0,0,0,0,30,0,0,0,0,0,0,0,0,0,22,0,0,0,24,0
リフレイン～青春馬鹿野郎～（175R） ,C_Major,28,0,0,0,0,0,0,0,1,8,38,0,0,0,33,0,0,0,0,29,0,0,0,10
果てなき明日へと（175R） ,D_Major,0,0,0,0,18,0,0,0,0,0,0,0,0,3,18,0,0,0,32,0,0,0,0,12
空に唄えば（175R） ,G_Major,43,0,0,0,79,0,0,0,0,37,0,0,0,0,49,0,0,0,0,1,0,0,0,9
ボクハナンダ～応援シタクナッタノダ！！ Ver.～（175R） ,D#/E♭_Major,0,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,45,0,0,0,56,0,0,0
Time out!!（175R） ,B_Major,0,0,0,0,5,0,0,0,9,1,0,0,0,0,0,0,0,0,13,0,8,0,12,5
夏のマボロシ（175R） ,B_Major,0,0,9,1,2,0,0,12,29,4,0,0,48,0,0,0,0,27,2,0,0,0,28,0
五月色（175R） ,B_Major,0,0,0,0,0,0,0,0,16,0,0,0,16,0,0,0,0,1,0,0,0,0,28,0
あの日あの夜 僕を照らしていた月の光（175R） ,A_Major,0,0,0,0,25,0,0,0,46,0,0,0,0,14,0,0,0,0,28,0,0,0,4,0
心から（175R） ,E_Major,0,0,0,16,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,0,3,0,31,0
ハッピーライフ（175R） ,G#/A♭_Major,0,10,42,0,0,0,54,0,0,0,0,15,0,0,0,0,56,0,0,0,0,1,0,0
東京（175R） ,G_Major,53,0,0,0,48,0,0,0,0,30,0,0,0,0,23,0,0,0,16,0,0,0,10,26
グラフィティー～KIT KAT Edition～（175R） ,D_Major,0,0,0,0,16,0,0,0,0,0,0,0,0,0,19,0,0,0,35,0,0,0,0,10
Side Story is...（175R） ,G_Major,25,0,0,0,37,0,0,0,0,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0
僕はどれだけ自分が幸せかを知らない（175R） ,E_Major,1,0,18,6,0,0,0,0,43,0,0,0,1,2,0,0,1,0,29,0,0,0,29,0
夕焼けファルセット（175R） ,G_Major,18,0,0,0,31,0,0,0,0,11,0,0,0,0,22,0,0,0,0,3,0,0,0,11
和（175R） ,C_Major,27,0,0,0,0,0,0,0,0,0,30,0,0,0,34,0,0,0,0,26,0,0,0,0
I believe my way（175R） ,F_Major,20,0,0,0,0,7,0,0,0,0,19,0,0,0,0,0,0,0,0,0,21,0,0,0
YOUR SONG（175R） ,D_Major,2,0,2,0,32,0,0,0,0,0,0,0,0,13,23,0,0,0,30,0,3,0,0,13
P.R.P（175R） ,A_Major,0,0,0,0,12,0,0,0,15,0,0,0,0,2,2,0,0,0,25,0,0,0,0,0
Precious（175R） ,F#/G♭_minor,0,0,20,0,33,0,0,0,13,0,0,0,0,23,0,0,0,0,19,0,0,0,0,0
昭和戻り橋（紙ふうせん） ,G_minor,0,19,0,0,19,0,1,0,3,0,5,0,0,0,3,29,0,0,6,1,5,0,0,0
Sing a song（19） ,A_Major,0,0,0,0,16,0,0,0,30,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0
「伝えたい音」（19） ,C_Major,37,0,0,0,0,2,0,0,18,0,23,0,0,0,36,0,0,0,0,21,0,0,0,0
ビルはほど遠い街（19） ,D#/E♭_Major,0,12,0,0,0,0,30,0,0,0,0,0,0,0,4,0,25,0,0,0,24,0,0,0
ショベルヘッド '79（19） ,A_Major,1,0,0,2,11,3,0,0,9,4,0,0,0,2,3,0,0,0,10,0,0,0,0,3
まばたき（19） ,C_Major,34,0,0,0,0,9,0,0,7,1,24,0,0,0,13,1,0,0,0,5,0,0,0,0
『ガソリン』（19） ,C_Major,27,0,0,0,0,0,0,0,0,5,21,0,0,0,18,0,0,0,0,14,0,0,0,0
やさしい激動（19） ,A_Major,0,0,0,0,28,0,0,0,37,0,0,0,0,19,0,0,0,0,26,0,0,0,0,0
みんなのうた（19） ,G_Major,29,0,0,0,28,0,0,0,0,6,0,0,0,0,41,0,0,0,0,0,0,0,0,0
スマイル（19） ,E_Major,10,0,0,4,5,0,0,0,39,0,0,0,0,0,0,0,0,0,31,0,5,0,27,0
背景ロマン（19） ,G_Major,37,0,0,0,37,0,0,0,0,8,0,0,0,0,46,0,0,0,2,2,0,0,0,2
三分間日記（19） ,C_Major,30,0,0,0,2,0,0,0,4,2,22,0,0,0,28,0,0,0,2,14,0,0,4,0
階段（19） ,G_Major,20,0,0,0,12,0,0,0,0,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0
瞬間概念（19） ,C_Major,30,0,0,0,2,6,0,0,0,11,19,0,0,0,39,0,0,0,0,14,0,0,0,0
おめでとう（19） ,G_Major,24,0,0,0,35,0,0,0,0,16,0,0,0,0,22,0,0,0,0,0,0,0,0,0
雲レ日（19） ,A_minor,8,0,0,0,0,0,0,0,2,0,8,0,0,0,12,0,0,0,0,21,0,0,0,0
小田急柿生（19） ,G_Major,36,0,0,0,43,0,0,0,0,10,0,0,0,0,36,0,0,0,0,6,0,0,0,4
毎週火曜日（19） ,A_Major,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
テーマソング（19） ,C_Major,27,0,0,0,0,6,0,0,0,8,11,0,0,0,21,0,0,0,0,8,3,0,0,0
無意識とは（19） ,A_Major,9,0,0,0,0,0,0,0,3,0,14,0,0,0,13,0,0,0,9,11,0,0,0,0
落書（19） ,G_Major,22,0,0,0,31,0,0,0,0,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0
陸王（19） ,C_Major,32,0,0,0,0,0,0,0,2,0,30,0,0,0,56,0,0,0,0,20,0,0,0,0
キネマ（19） ,A_minor,12,0,0,0,0,0,0,0,12,0,29,0,0,0,20,0,0,0,0,18,0,0,0,2
あの紙ヒコーキ くもり空わって（19） ,A_Major,14,0,2,5,11,0,2,0,29,2,24,0,0,9,29,0,0,0,16,9,0,0,0,0
ありあまる地上の憂鬱とよろこび（19） ,D_Major,0,0,0,0,30,0,0,0,0,2,0,0,5,0,24,2,0,0,25,0,0,0,2,8
コッツウォルズ（19） ,A_minor,0,0,0,0,0,0,0,0,0,0,17,0,0,0,22,0,0,0,0,47,16,0,0,0
冬が来る前に（紙ふうせん） ,A_minor,24,0,0,0,2,2,0,0,20,0,13,0,0,0,27,0,0,0,0,32,0,0,0,8
黄昏物語（ばんばひろふみ） ,G_minor,0,29,0,0,18,5,14,0,0,0,15,0,0,0,0,37,0,0,0,0,10,0,0,0
夜店のうた（紙ふうせん） ,E_Major,8,0,0,0,7,0,0,0,6,0,0,0,3,6,8,0,0,0,12,8,0,0,16,0
オレじゃなきゃ、キミじゃなきゃ（20th Century） ,F_Major,14,0,0,0,0,26,0,0,0,0,24,0,0,0,0,17,0,0,13,40,31,0,0,0
僕は生まれた（紙ふうせん） ,G_Major,13,0,0,0,18,0,0,0,0,4,1,0,0,0,32,0,0,0,0,15,0,0,0,0
夕陽よ沈まないで（紙ふうせん） ,F_Major,26,0,1,0,0,9,6,0,0,0,49,0,4,0,6,10,0,0,2,2,45,0,1,0
翼をください～紙ふうせん&フレンズ Ver.～（紙ふうせん） ,A_Major,0,2,0,11,16,0,2,0,36,0,2,0,0,13,12,1,2,2,39,0,1,1,7,1
霧にぬれても（紙ふうせん） ,C_Major,24,0,0,0,3,4,0,0,14,2,17,0,0,0,23,0,1,0,0,32,0,0,1,0
Kurikaesu 春244 ENDLI-x） ,G_Major,41,0,0,0,20,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,30
Tenderness（ばんばひろふみ） ,A_Major,0,0,2,6,14,0,4,1,21,0,0,0,6,2,4,0,0,0,32,0,0,1,2,12
嗚呼初恋（3B LAB.☆） ,D_Major,0,0,0,0,38,0,0,0,0,0,0,0,0,6,33,0,0,0,26,0,0,0,0,21
青春謳歌（3B LAB.☆） ,G_Major,43,0,0,0,45,0,0,0,0,6,0,0,0,0,40,0,0,0,0,0,0,0,4,0
Let's HappiecE Life!（3B LAB.☆） ,C_Major,23,0,0,0,0,0,0,0,0,0,22,0,0,0,20,0,0,0,0,12,0,0,0,0
星の砂（3B LAB.☆） ,A_minor,45,0,0,0,8,0,0,0,20,0,44,0,0,0,51,0,0,0,0,54,0,0,0,0
速達（ばんばひろふみ） ,C#/D♭_minor,14,0,2,26,0,0,0,0,21,1,0,0,0,17,0,0,7,23,18,0,0,0,26,0
SACHIKO～初心者向け簡単Ver.～（ばんばひろふみ） ,E_Major,0,0,1,22,1,0,0,0,24,0,0,0,0,16,0,0,12,12,23,0,0,0,22,0
それぞれの昨日（ばんばひろふみ） ,E_minor,20,0,0,0,30,0,0,0,1,35,0,0,0,0,12,0,4,0,2,11,0,0,7,5
この広い空の下で（7!!） ,G_Major,37,0,0,0,50,0,1,0,0,38,1,0,0,0,39,0,0,0,0,2,0,0,0,16
あざやかなモニュメント（ばんばひろふみ） ,F_Major,12,0,0,0,0,4,0,0,0,0,28,0,0,0,0,13,0,0,4,11,15,4,0,0
できるだけ遠廻り（ばんばひろふみ） ,D_Major,2,0,0,0,68,0,0,0,0,24,0,0,0,0,10,0,0,0,32,0,0,0,0,2
昨日よりも若く（ばんばひろふみ） ,G_Major,19,3,0,0,33,0,2,0,0,8,3,0,0,2,34,0,0,0,0,11,0,0,0,13
インフェルノ（9mm Parabellum Bullet） ,E_Major,0,0,0,27,0,0,0,0,18,0,0,0,0,0,0,0,24,0,26,0,0,0,1,0
命ノゼンマイ（9mm Parabellum Bullet） ,B_minor,0,0,0,3,30,0,0,0,0,34,0,0,65,6,20,0,0,0,8,0,0,0,0,74
colorful（9nine） ,A_Major,0,0,0,0,46,0,0,0,45,0,0,0,0,36,0,0,0,0,40,0,0,0,0,0
SHINING☆STAR（9nine） ,G#/A♭_Major,1,27,29,1,0,0,33,0,1,0,0,23,0,0,0,0,6,0,0,0,0,1,0,0
Sunshine（9nine） ,G#/A♭_Major,0,0,33,0,0,0,31,0,0,0,0,31,0,0,0,0,55,0,0,0,0,0,0,0
With You ,G#/A♭_Major,0,0,32,0,0,0,43,0,0,0,0,38,0,0,0,0,22,0,0,0,0,0,0,0
少女トラベラー～tofubeats remix～（9nine） ,G_minor,0,0,0,0,3,1,65,0,0,0,55,0,49,0,0,57,1,0,0,0,35,0,0,0
MY ONLY ONE（9nine） ,F_Major,35,0,0,0,0,34,0,0,0,0,34,0,0,0,0,0,0,0,3,0,40,0,0,0
やさしい雨（9nine） ,A#/B♭_minor,0,0,8,0,0,0,0,3,0,0,3,4,35,0,5,0,41,0,0,0,22,31,3,0
茜色（9nine） ,E_Major,0,0,0,51,0,0,0,0,56,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
Party9（9nine） ,F_Major,30,0,9,0,0,21,7,0,0,0,13,11,16,0,0,0,25,0,0,0,41,16,2,0
ポジティ部（9nine） ,F#/G♭_Major,3,0,28,0,0,2,0,17,0,1,9,1,44,3,5,0,8,0,0,2,2,15,23,0
No cry No more（AAA） ,G#/A♭_Major,0,1,34,0,0,0,38,18,3,0,0,20,10,0,0,0,20,1,0,0,13,4,14,0
BEYOND～カラダノカナタ（AAA） ,A_Major,0,0,0,21,30,0,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
HANDs（AAA） ,F_minor,0,0,22,0,4,0,24,0,18,3,0,37,8,6,10,2,18,0,17,0,0,0,0,18
Dream After Dream ～夢から醒めた夢～（AAA） ,A#/B♭_minor,1,0,22,0,0,0,0,0,1,0,7,5,35,0,0,0,33,0,0,0,0,20,0,0
ALIVE（AAA） ,A#/B♭_Major,0,3,0,0,0,2,33,0,0,0,34,0,0,0,0,23,0,0,0,0,29,0,0,0
Get チュー!（AAA） ,G_Major,28,0,0,0,26,0,0,0,0,12,2,0,0,0,21,0,0,0,0,2,0,0,0,12
Climax Jump（AAA DEN-O form） ,A_Major,1,0,0,7,7,8,0,0,4,0,9,0,7,0,14,1,0,0,22,6,3,0,0,0
PARTY IT UP（AAA） ,A_Major,0,0,0,2,36,0,0,0,36,0,0,0,0,31,0,0,0,0,26,0,0,0,0,0
CIRCLE（AAA） ,C#/D♭_Major,0,0,31,0,0,0,0,23,0,0,26,2,41,0,0,0,9,14,0,0,3,30,14,0
MIRAGE（AAA） ,B_minor,0,0,9,0,2,0,0,12,0,2,0,0,6,2,2,0,0,0,4,0,7,0,9,10
Next Stage（AAA） ,D_Major,0,0,0,0,8,0,0,0,0,2,0,0,0,13,33,0,6,0,24,0,0,0,6,49
MASK（AAA） ,A_minor,7,0,4,16,20,8,0,0,29,3,21,0,0,32,10,0,0,0,0,34,13,0,0,0
Miss you（AAA） ,E_Major,0,0,0,38,0,0,0,0,5,0,0,0,0,5,0,0,0,34,40,0,2,0,37,0
autumn orange（AAA） ,D_minor,18,1,5,0,3,23,5,0,4,0,19,0,0,0,5,8,3,0,20,1,30,9,13,0
アシタノヒカリ（AAA） ,B_Major,2,0,16,10,0,0,10,14,10,0,0,0,19,0,0,0,2,21,4,0,12,14,33,0
SHOUT & SHAKE（AAA） ,G#/A♭_Major,0,0,45,0,0,0,39,0,0,0,0,59,0,0,0,0,48,0,0,0,0,4,0,0
チューインガム（AAA） ,G_Major,17,0,0,2,15,0,0,0,0,11,0,0,0,0,18,0,0,0,4,11,0,0,4,13
旅ダチノウタ（AAA） ,B_Major,0,0,3,16,0,0,0,0,16,0,0,0,28,0,0,0,0,3,0,0,0,0,47,0
SUNSHINE（AAA） ,C_Major,5,0,0,0,0,0,0,0,0,32,38,0,0,0,4,0,0,0,0,0,0,0,0,0
ソウルエッジボーイ（AAA） ,A_minor,16,0,0,0,0,0,0,0,2,2,32,0,0,0,20,0,0,0,0,23,0,0,0,0
恋音と雨空（AAA） ,C#/D♭_Major,4,0,35,4,4,2,2,22,12,0,2,4,22,4,2,0,38,1,8,2,0,31,2,0
唇からロマンチカ（AAA） ,G_minor,0,8,0,0,23,0,0,0,0,0,2,0,0,0,10,34,3,0,6,0,2,0,0,0
ほほえみの咲く場所（AAA） ,F#/G♭_Major,8,11,13,0,4,0,7,9,0,0,9,0,14,0,5,0,10,0,5,0,25,0,12,0
Red Soul（AAA） ,D#/E♭_minor,0,0,22,0,17,0,0,6,6,0,0,0,0,12,0,0,6,0,8,0,4,6,8,0
V.O.L（AAA） ,A_Major,0,0,0,14,36,2,0,1,39,1,0,0,8,7,0,0,0,1,35,0,0,0,11,30
キモノジェットガール（AAA） ,C#/D♭_Major,0,0,30,0,0,0,0,18,0,0,0,2,5,0,0,0,30,0,0,0,0,9,0,0
ハリケーン・リリ，ボストン・マリ（AAA） ,C_Major,18,0,0,0,0,12,0,0,0,24,18,0,0,0,24,6,0,0,0,12,0,0,0,0
逢いたい理由（AAA） ,B_minor,22,0,0,0,4,22,0,0,0,8,21,0,0,8,12,0,0,0,8,0,22,0,0,4
きれいな空（AAA） ,A#/B♭_Major,0,16,0,0,24,0,28,0,0,0,13,18,0,0,0,35,3,0,0,0,24,0,0,0
ぼくの憂鬱と不機嫌な彼女（AAA） ,A#/B♭_Major,21,15,0,2,16,8,25,4,5,22,24,0,0,1,13,15,4,0,10,4,10,0,8,13
さよならの前に（AAA） ,D#/E♭_minor,2,8,35,1,1,0,26,27,0,0,4,16,34,1,4,0,20,3,0,0,20,20,33,0
Shalala キボウの歌（AAA） ,A#/B♭_Major,0,19,0,0,0,15,17,2,0,0,23,0,0,0,12,0,8,0,0,0,15,0,0,0
愛してるのに、愛せない（AAA） ,F_Major,35,1,0,0,0,31,2,0,0,0,12,0,0,0,0,13,1,0,0,28,26,3,0,0
I'll be there（AAA） ,D_minor,0,0,0,0,2,50,0,0,3,0,0,0,0,0,0,35,0,0,41,4,13,0,0,0
Flavor of kiss（AAA） ,G#/A♭_minor,0,0,0,29,0,0,0,31,63,0,0,0,33,0,0,0,0,39,0,0,0,0,2,0
Let it beat!（AAA） ,F#/G♭_minor,0,0,22,0,16,0,0,9,10,0,0,0,3,13,0,0,0,0,4,0,19,0,27,2
MUSIC!!!（AAA） ,F_Major,46,0,0,0,0,27,0,0,0,0,80,0,0,0,0,1,1,0,4,1,53,0,0,0
NEW（AAA） ,E_Major,0,0,0,4,0,0,0,0,23,0,0,0,0,25,0,0,0,0,25,0,0,0,27,0
Break Down（AAA） ,A_minor,0,0,5,4,8,8,0,0,16,4,8,0,2,15,8,0,2,0,4,8,0,0,0,2
Dancing Queen～動画視聴Ver.～（ABBA） ,A_Major,0,0,3,0,26,0,0,0,17,0,0,0,0,15,0,0,0,0,37,0,0,0,3,5
Dancing Queen（ABBA） ,A_Major,0,0,3,0,26,0,0,0,17,0,0,0,0,15,0,0,0,0,37,0,0,0,3,5
BLADE CHORD（abingdon boys school） ,E_minor,22,0,4,0,23,0,0,0,6,19,0,0,0,17,2,0,0,0,7,0,0,0,0,6
JAP（abingdon boys school） ,G#/A♭_minor,0,0,14,0,0,0,6,4,20,0,0,0,21,0,0,0,0,40,0,0,0,0,2,0
キミノウタ（abingdon boys school） ,G#/A♭_Major,0,6,16,0,0,0,11,0,15,2,0,6,5,0,0,0,8,12,2,0,0,0,6,0
INNOCENT SORROW（abingdon boys school） ,A#/B♭_minor,0,0,13,0,0,0,0,1,0,0,8,0,28,0,0,0,14,0,0,0,0,21,3,0
STRENGTH.（abingdon boys school） ,D_minor,16,0,0,0,2,17,0,0,0,0,4,0,0,0,0,8,0,0,4,16,15,0,0,0
Nephilim（abingdon boys school） ,F#/G♭_Major,0,0,20,0,0,0,22,6,4,0,0,0,4,0,0,0,4,4,0,0,0,9,26,0
Dream Runner（access） ,D_Major,6,0,0,0,19,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
colors（Acid Black Cherry） ,G_Major,12,19,25,9,12,0,31,0,1,0,2,6,0,0,21,0,27,0,3,6,0,7,0,1
エストエム（Acid Black Cherry） ,B_minor,9,0,10,0,15,0,0,0,16,0,13,0,11,15,26,0,1,0,18,0,5,0,15,64
L -エル-（Acid Black Cherry） ,G#/A♭_Major,0,5,16,6,2,0,43,0,0,0,15,6,8,0,0,0,67,0,16,0,1,26,0,0
20+∞Century Boys（Acid Black Cherry） ,B_Major,0,0,0,0,0,0,0,0,50,0,0,0,22,0,0,0,0,18,0,0,0,0,17,0
INCUBUS（Acid Black Cherry） ,C_minor,0,29,0,0,0,0,1,0,30,0,30,0,0,0,17,1,14,0,11,0,12,0,0,0
Loves（Acid Black Cherry） ,A_Major,0,0,0,7,10,1,1,0,22,0,0,0,11,5,0,0,0,0,28,0,3,0,0,19
versus G（Acid Black Cherry） ,F#/G♭_minor,3,0,3,0,7,0,2,0,0,2,1,0,8,82,9,0,1,0,0,0,2,0,5,2
冬の幻（Acid Black Cherry） ,D_Major,8,0,0,0,15,0,0,0,0,6,0,0,2,10,28,0,0,0,24,0,0,0,12,14
少女の祈り（Acid Black Cherry） ,B_minor,0,0,0,0,3,0,0,0,0,3,0,0,27,0,30,0,0,0,25,0,0,0,3,31
Greed Greed Greed（Acid Black Cherry） ,C_minor,0,92,2,0,0,0,0,0,0,0,7,0,35,0,22,0,16,0,0,0,7,0,0,0
君がいない、あの日から…（Acid Black Cherry） ,E_Major,19,0,16,32,0,0,4,0,8,0,3,0,0,12,0,0,15,9,25,0,0,0,20,0
黒猫 ～Adult Black Cat～（Acid Black Cherry） ,D_minor,16,4,21,0,8,55,0,0,25,0,0,0,0,0,0,11,8,0,31,4,6,0,0,0
愛してない（Acid Black Cherry） ,C_Major,9,0,0,0,0,12,0,0,3,6,23,0,0,0,24,0,0,0,16,6,4,0,0,0
眠れぬ夜（Acid Black Cherry） ,C_Major,21,0,0,0,0,26,0,0,6,10,13,0,0,0,30,0,4,0,14,37,4,0,6,0
優しい嘘（Acid Black Cherry） ,D_Major,0,0,0,0,13,0,0,0,0,0,0,0,13,0,40,0,0,0,31,0,0,0,0,34
シャングリラ（Acid Black Cherry） ,D_Major,8,0,0,0,39,0,1,0,0,19,0,0,4,19,30,0,0,0,72,0,1,0,11,21
liar or LIAR?（Acid Black Cherry） ,C_minor,1,58,8,0,0,0,28,0,0,0,0,0,0,0,38,0,45,0,3,0,15,0,10,0
Round & Round（Acid Black Cherry） ,C_minor,1,57,0,4,0,0,43,0,3,0,0,6,0,0,27,1,67,0,4,0,48,0,16,0
眠り姫（Acid Black Cherry） ,B_Major,0,0,0,8,0,0,0,9,26,0,0,0,25,1,0,0,15,3,0,0,0,0,17,0
CRISIS（Acid Black Cherry） ,D_minor,34,0,2,0,6,45,6,0,3,0,20,0,0,0,8,3,4,0,33,0,39,0,0,0
& you（Acid Black Cherry） ,A_Major,0,0,0,10,52,0,0,0,29,0,0,0,4,8,6,0,0,0,43,0,0,0,0,4
ピストル（Acid Black Cherry） ,B_minor,10,0,9,0,6,0,0,6,6,0,12,0,5,30,5,0,3,0,5,0,0,0,0,77
your soul（ACIDMAN） ,B_minor,0,0,0,0,48,0,0,0,0,6,0,0,0,0,49,0,0,0,50,0,3,0,0,40
世界が終わる夜（ACIDMAN） ,G_Major,47,0,0,0,71,0,5,0,0,32,0,0,0,0,39,0,0,0,0,2,0,0,0,6
水写（ACIDMAN） ,D_Major,0,0,0,0,12,0,0,0,0,4,0,0,8,0,20,0,0,0,14,0,0,0,15,13
黄昏の街（ACIDMAN） ,G_Major,40,0,0,0,29,0,22,0,0,26,0,0,0,0,54,0,0,0,0,13,0,0,0,1
EDEN（ACIDMAN） ,C_Major,29,0,0,0,0,0,0,0,0,0,32,0,0,0,68,0,0,0,0,27,0,0,0,0
永遠の底（ACIDMAN） ,F_minor,0,14,40,0,0,0,28,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0
最期の景色（ACIDMAN） ,D_Major,0,0,0,0,47,0,0,0,0,0,0,0,0,7,45,0,0,0,41,0,0,0,0,25
ハレルヤ（ACIDMAN） ,A_minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0
式日（ACIDMAN） ,E_Major,0,0,0,20,0,0,0,0,30,0,0,0,0,0,0,0,0,0,31,0,0,0,25,0
EVERLIGHT（ACIDMAN） ,C_Major,38,0,0,0,0,0,0,0,0,1,45,0,0,0,57,0,3,0,0,28,0,0,0,0
star rain（ACIDMAN） ,G_minor,9,0,0,0,13,0,0,0,0,8,0,0,0,0,2,67,0,0,0,0,14,0,0,1
Stay in my hand（ACIDMAN） ,C_minor,0,61,0,0,0,0,21,0,0,0,0,0,0,0,0,7,34,0,0,0,22,0,15,0
VOICE（AI） ,C_minor,0,48,0,0,0,0,7,0,0,0,0,48,0,0,4,0,8,0,0,0,34,0,0,0
sogood（AI） ,E_Major,0,0,0,2,0,0,0,0,38,0,0,0,0,11,0,0,0,0,15,0,0,0,6,0
Story～動画視聴Ver.～（AI） ,C_Major,17,0,0,0,11,5,0,0,7,2,15,0,2,0,44,0,3,0,15,14,1,0,0,4
おくりびと（AI） ,G_Major,16,0,0,0,7,0,0,0,3,8,2,0,0,0,19,0,0,0,0,7,0,0,1,6
ハピネス（AI） ,D_Major,0,0,0,0,24,0,0,0,0,2,0,0,1,0,26,0,0,0,23,0,0,0,0,24
ONE（AI） ,G_Major,30,0,0,0,16,5,0,0,0,12,4,0,0,0,21,0,0,0,1,17,0,0,1,8
ママへ（AI） ,F#/G♭_Major,2,0,42,0,0,0,0,38,0,0,0,0,41,0,0,0,0,1,0,0,0,0,37,3
MORIAGARO Feat. Jeremih（AI） ,A#/B♭_minor,0,0,14,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,67,0,0
